Date,Stars,Reviews,BankName
11-06-2016,4,Jay was easy to get a hold of if I had any questions so that was huge to me because there's a lot to do during this whole loan process and you want to know if everything's right. He provided as great a service as I could've wanted,PNB Housing Finance
04-03-2017,5,If I had a million Friends I would recommend all of them to PNB Housing especially to Mark Taylor he’s great he really help with even of the clock thanks a million mark I mean that from heart I appreciate everything you did for me.,PNB Housing Finance
06-11-2016,5,"Chaz was fantastic throughout the entire lending processs. I had my share of challenges with the original underwriter through no fault of Chase yet he stepped in quickly to rectify any issues I had. He was the glue that kept this deal together. I did have some challenges with my first property falling through and the last minute yet Chaz kept my spirits up and assisted through quickly transitioning to the new and much better property in the end. Again, cannot say enough positive things about Chaz. Consummate professional and very responsive. I would highly recommend doing business with him and plan on staying in touch for future opportunities",PNB Housing Finance
03-07-2016,5,Austen has been awsome in every step of the way with my refi and new home purchase. He explains your best options thoroughly with out any of the B.S other companies use to get your business . Being a repeat customer says it all.,PNB Housing Finance
07-10-2016,5,The salesperson kept pushing a cash out refi on me even when i told him I'm looking for a heloc specifically. Then he hangs up on me because I said I was quoted a better rate at TD bank. Ridiculous....,PNB Housing Finance
24-02-2017,1,"This was the worst experience ever. It was like they had never gone through the process before. I could not get a complete list of the documents required. Every other day it was a new request. The appraiser that they hired made so many mistakes I had to send in corrections and then during the underwriting process they had to go back and make more corrections. Wyndum would continue to ask for copies of documents over and over again. There were many documents that I had to send 3 and 4 times because they ""lost"" them or was not filed correctly, we went through 4 different people through the process. I would NEVER use them. Awful experience!",PNB Housing Finance
14-03-2016,1,"A good rate but a very frustrating process, constant delays, decisions made then changed, overwhelmed underwriting team with 3 week back log, rookie mistake related to Texas law that caused an additional 2 week wait. Closing happened almost 6 weeks after it should have. Courteous and professional, but not very knowledgeable and no sense of urgency. Would not recommend",PNB Housing Finance
13-08-2017,1,"They were not upfront. Learn from my mistake... I trusted the loan officer that my zero point rate is an option before closing the loan because he convinced me to initially sign the Good Faith Estimate with higher rate plus lender's credit. After running my numbers, the lower interest is favorable for me and asking for it now, I'm being charge points. It looks like they are only good in their words at the beginning so please be careful dealing with this lender",PNB Housing Finance
26-06-2016,1,"Initially, the Mortgage Broker was very friendly and assertive. Once the paper work was filled out and closing on the loan was eminent, it became increasingly difficult to reach the broker. I had to initiate all phone calls. It seemed as if I had to call to make the process move forward. It took four weeks to get a copy of my closing documents and the payoff for my credit card",PNB Housing Finance
26-06-2016,1,"Initially, the Mortgage Broker was very friendly and assertive. Once the paper work was filled out and closing on the loan was eminent, it became increasingly difficult to reach the broker. I had to initiate all phone calls. It seemed as if I had to call to make the process move forward. It took four weeks to get a copy of my closing documents and the payoff for my credit card",PNB Housing Finance
15-01-2016,5,"I worked with Kory and Carla at PNB Housing. They were a superb team and provided excellent, responsive and knowledgeable service throughout the entire process. Ours was a complicated process with a refinance and a loan and they hung in there with us the entire time. It was a great experience working with both of them. I highly recommend them and will use them in the future for all of my mortgage needs",PNB Housing Finance
11-10-2017,5,"Kory was by far the best loan officer I have ever worked with. We were dealing with a complicated refinance and purchase of two different properties and he was cool, calm, professional and extremely knowledgeable throughout the entire process. I wouldn’t use anyone else moving forward. His level of integrity and responsiveness is second to none. Thanks for everything, Kory",PNB Housing Finance
14-10-2016,5,"Expert loan officer, well versed in VA and the financial impacts of loan component changes. The best I have worked with across 7 home buying/selling deals. Now advocated for by the #1 real estate broker in the state due to his ability to close complicated and high pressure deals. She places him at the top of the list after 32 years in the business! Professionally and patiently answers detailed questions and can rally the expanded PNB Housing team (also stellar!) to support your needs. He handled my complicated VA loan that seemed to change every week while we tried to buy an Antebellum home (tough comps) during my retirement from the military (tough income verification) with five families all swapping homes (tons of contingencies). Everything along the way mattered and Aaron and the PNB Housing team got it done (even on weekends) and closed on time with the best interest rate in the market and no added origination fees. Look, do NOT pass up an opportunity to work with him. ",PNB Housing Finance
08-01-2016,5,"The PNB Housing team went above and beyond for me and my family and closed an important VA home loan on time despite many changes, my military retirement, and a very challenging Antebellum home that required the entire PNB Housing team to pull out all the stops, know the rules and regulations, and guide us through a tough VA process. I truly believe we would not have closed on time with a different team. I will only recommend PNB Housing for home loans...especially complicate VA loans",PNB Housing Finance
22-10-2016,3,"Dallas Goodlet and his entire team are deserving a special thank you. He was as professional as they come and closed our loan in 12 days. We were with another competitor originally and he called, saving us thousands over our current lender. It was a real pleasure getting to work with this institution and a class act like Dallas. Great job!",PNB Housing Finance
12-09-2017,3,"Comments: To begin my wife and I were at the point of signing completion with the leader of online home mortgage service. We were not satisfied with the origination cost so we applied to lending tree for competitive bids. Several lender matched or slightly beat PNB Housing but none were convincing at closing on time. We chose PNB Housing because of Dallas Goodlet believability on the closing. The sales, loan service and application process was competitive, assuring, professional, timely, supportive, and truthful. Dallas Goodlet/ Brent Custer and the whole PNB Housing team delivered the mortgage on time and at the price promised. We are completely satisfied and appreciative of the staff, product and service of your company. Kudos to all ",PNB Housing Finance
24-05-2017,3,"Working with Jon was such an amazing experience! From the start he offered answers to any questions I had since after all this was our first home purchase! Jon was always a phone call away ready to help where needed. He made the stringent home buying process as easy as possible! I would definitely recommend any potential buyers to work with Jon, I know for myself I will be calling him if we ever decide to buy another house! Thanks Jon",PNB Housing Finance
02-05-2017,5,PNB Housing was amazing to work with! The pre-approval process was easy and informational. We chose our home and closed within 30 days of our agreement date! Thanks PNB Housing for making our first home purchase an amazing experience!,PNB Housing Finance
18-07-2016,5,"Jon Barrett was a great asset to my husband and I. He made our mortgage loan process extremely simple and quick! Jon was knowledgeable, helpful, patient and accurate. We will be passing Jon's name along to anyone looking for a mortgage loan!",PNB Housing Finance
10-02-2017,5,"I can't express how incredibly awesome our experience was with working with Bryant Small at PNB Housing. As a military family, we have purchased or refinanced many homes and this was by far the BEST experience we have ever had. Bryant makes it easy and took the time to discuss the best options for us. I've never met Bryant, but you can't mistake authenticity and we knew instantly he and PNB Housing were who we were going with. ",PNB Housing Finance
05-05-2016,5,Best loan officer I could have hoped for! Jeff exceeded my expectations. He worked very hard to get me the best rate possible. Highly recommended,PNB Housing Finance
18-07-2016,5,"Adam was great to work with during our refi! His attention to detail made this a smooth and easy transaction. It has been several years since we've gone thru the home loan process and we were unsure where to start. After talking with Adam, we were confident he was the one to help us with our refi. He was professional, helpful, very knowledgeable about the loan process and answered all of our questions in a timely manner. I would highly recommend Adam and would not hesitate to work with him agai",PNB Housing Finance
10-04-2017,5,"Great website, knowledgeable, responsive and always got back to us quickly with answers to our questions. Mortgage process can be very tedious and they made it easy.",PNB Housing Finance
09-05-2017,4,"We received offers from multiple banks after our lending tree request for a mortgage. Alex Madewell from PNB Housing was by far the best offer. He made the entire process easy and was very knowledgeable. The closing on this home was seamless, no surprises. I would definitely recommend Alex Madewell and PNB Housing to anyone looking for a mortgage.",PNB Housing Finance
30-01-2016,5,Rob was very helpful in getting this loan closed. Few issues on our end we didn't know about but he was still able to get it done on time.,PNB Housing Finance
23-01-2016,5,Peter and his team were great to work with. They were professional and prompt with their responses. They answered all my questions and somehow got us to closing on time despite various roadblocks we encountered.,PNB Housing Finance
05-05-2016,5,"Adam came highly recommended and from the first time we spoke with him, it was clear why. He was friendly, professional, knowledgeable, and worked hard to ensure we were taken care of in all aspects. Beyond the necessary effective communication skills, he brought a personal touch after we closed by sending us a hand written note of congratulations. I will recommend him to everyone I know buying a house.",PNB Housing Finance
09-05-2017,1,"The closing process for a VA loan went smoothly. But the loan servicing by this so-called bank is a complete disaster. I set up our loan for automatic payments using their clunky website. Unlike other banks with which I do business, the PNB Housing website is not intuitive and does not provide confirmation for your entries. For the first 10 months, payments were automatically debited from my external account as scheduled. However, when the escrow amount changed, PNB Housing debited the old amount from my account and sent a deficiency letter for the balance -- unlike every other bank I have used in which the amount of the debit was automatically debited. PNB Housing sent me a ""credit counseling letter"" telling me that they did not apply any of the loan payment and would charge me a late payment over double the deficiency of $40 and change .... and suggested credit counseling services. When I called their servicing department, the representative told me the letter was sent in error and that everything had been adjusted so my account was showing that it was current. Two weeks later, I received a total of two voice mail messages and an e-mail in a span of 20 minutes from PNB Housing's default department. The woman with whom I first spoke was rude, said she showed no record of my earlier call, it was my problem, and then hung up on me. The second agent, a man in their default department, said that he did not show that I had made any automatic payments and that PNB Housing's system was not set up to adjust anything. After having over 25 years of mortgage payments with various banks, I have never experienced such incompetence and rude service. I specifically instructed the last agent to request that they sell servicing of our loan to another bank that is capable of actually performing customer service for a veteran ",PNB Housing Finance
13-08-2017,1,Miserable experience. They screwed up everything imaginable and never accepted responsibility for any of their errors. I wouldnt recommend them for the purchase of a doghouse much less purchasing a new home.,PNB Housing Finance
24-12-2017,2,"Our loan officer was happy to communicate before we committed. Once we committed he only communicated with us AFTER I questioned items and problems and AFTER I questioned why we weren't settling before our rate lock expired. We had no idea where we were in the process unless I contacted Steve. Poor, poor communication. Mr. Kang also was ""sure"" our house would appraise for $30k more than our house did, talking us into a loan that we didn't end up appraising for and then causing us to have to refinance at only .4% lower than our current mortgage. Our appraiser was disorganized and called twice for pictures he forgot. He used poor comps. We were contacted several times to look at documents that were expired before we could even sign on (within minutes of the email notifications). Only good was the actual settlement with a very sweet and competent notary (and thank goodness we were done). Poor process, poor communication - we will NEVER recommend PNB Housing and I have already told two people refinancing to steer clear. ",PNB Housing Finance
10-02-2017,1,"Started refinance with Nick things were going OK then there was a problem with a credit card fro 5 years earlier, which must of made the loan not possible. This I would of understood, But I never heard from them again? called Nick several times no response? I even called his supervisor no response? E-Mailed them no response? IS THIS THE COMPANY YOU WANT TO DUE BUSNESS...",PNB Housing Finance
20-05-2016,1,"This loan started off quite well. Our rep, Donna, was friendly and quick to respond to questions. She clearly explained how things would unfold, and it all sounded great. What I didn't count on was that the Bank never kept a single promise she made. I had the same problem with this Bank 15 or more times. I would ask for assurance about something, Donna would respond that things would be completed as I wished, and her promise was violated by the Bank EVERY SINGLE TIME. For example, in our first or second conversation, I explained to Donna that my wife would be traveling out of the country 11 weeks after beginning the loan process. Would it be a problem to get the loan closed before that? Not at all, she said. We should close several weeks before my wife's departure. 11 weeks later, the Bank was not ready to close. How did that happen? Donna would ask us to email documentation, which we would email back within 2-12 hours, depending on the occasion. Donna would then assure us that the documentation that we sent her was great, and the Bank had everything it needed. Then, weeks later, they would ask for additional documentation. This happened 5 or more times. Later in the process, they asked for repeats of earlier documentation because the earlier documentation that had I provided was now ""too old."" I cannot tell if this patterns recured because the Bank doesn't care about customers, or because it is just incompetent. Every time we complained about additional requests or some promise that wasn't kept, Donna told us that our complaints were justified and she was sorry. But she was unable or unwilling to rectify the broken promises. We finally closed 13 weeks or so after our initial application. I can only imagine how long the process would have taken if we had not responded to every request from the Bank on the day they made it, and if we hadn't pushed hard to get this deal done. This Bank treats customers with complete disrespect. As someone who has owned several properties in my life and has received more than 10 home mortgages from different banks, I can honestly say that this is the worst mortgage experience I've ever had. You owe it to yourself to work with another Bank that is more professional and more respectful of customers. If I could, I'd rate this Bank lower than one star",PNB Housing Finance
29-02-2016,2,"This Lender contacted my previous phone number which I did not list when registering with this site. Very unprofessional, and very disturbing.",PNB Housing Finance
13-11-2016,1,I never write reviews but had to this time to prevent anyone from making the same mistake as I. That mistake was using PNB Housing Finance over other lenders. I started my refinance with this company with the assurance that it would be a standard refinance without any problems and would be completed in a minimal amount of time. Communication with the company w... ,PNB Housing Finance
15-01-2016,2,"It all started when Bob G ran a credit check without my knowledge or consent. When I agreed to use PNB Housing, Bob told me that they could close in less than 4 weeks...it took 9. The day before closing they were still asking for paperwork. The day of closing (while my household goods were being unpacked) I was told a Power of Attorney could not be used. I had to fly to ID (where my wife was) take the docs to a notary and Fedex them back. I also had to get a bank check to send with the docs because they wouldn't accept a personal check. Then five days later (while driving from ID to NC) I had to coordinate having closing docs (which I already sent to them) from the sale of my other home sent to me so I could send to them. Of the four houses I purchased in the past 9 years this was the most stressful Read Less",PNB Housing Finance
05-12-2016,1,"What a horrible experience. We have excellent credit, plenty of income, etc. PNB Housing rep made tons of promises to get us to sign up, but then just a few weeks before the closing, she just disappeared, and failed to give us a lock or firm closing date! Thankfully, we sensed the problems and immediately contacted a local lender that got us the loan on better terms with low... ",PNB Housing Finance
12-09-2017,1,"Rep was extremely professional, friendly, and helpful when we first spoke. In fact, from my initial round of calls, I thought I was going to select him out of the five Lending Tree lenders (plus two banks I talked to directly). But then when I sent an email to all the lenders saying ""OK, the contract is signed. I want to select a lender and lock my rate TOMORROW, so please send me your best current rate and fees etc. with these EXACT loan parameters. It took the rep from PNB Housing over a week to respond. So I replied to him ""thanks but you are too late, I have selected someone else and already locked my rate."" Over the following few weeks I continued to receive emails from him saying ""when you are ready to proceed with your loan, let me know"". We CLOSED on January 8th, and on February 5th I got another such email. I guess he didn't really ever read my emails. I also told him on the phone that he had missed the boat, but that seemed to fall on deaf ears too. At the end of round one, his rates and fees were VERY competitive though - pretty near the best of the bunch",PNB Housing Finance
02-11-2017,1,I was working with a loan consultant from PNB Housing and she told me that she would give me a rate of 4.875% for a 30 year fixed loan with a total closing cost of $2300. I asked her to send me the good faith estimate. The good faith estimate came with a total closing cost of $2929 which is about $600 more than she mentioned during our conversation. When I called her for exp... ,PNB Housing Finance
26-10-2017,5,"I have applied for PNB Housing Finance Ltd Home Loan through Online.I have not faced any issues ,The rate of interest and processing fee was nominal , The loan amount got sanctioned on time .The loan amount was sufficient ,while document submission there was no issues.The agent gave all the details of the loan clearly.The processing time is little that is a good thing .
She, in every way, is a wonderful person, business woman and 100% considerate of your goals and helping you achieve them.  She went about and beyond in helping me make good decisions as well as educate me on options.  I could not have been more happy to connect with her during this process and will definitely use her again in the future if needed. 
        ",PNB Housing Finance
24-02-2017,5,"I had taken my Home loan from PNB HOUSING FINANCE LIMITED a long time back and the experience i had with them has been pretty much good. The interest rate which they are making is pretty much nominal when compared with the other banks. Their customer support team had also been helpful at times.
Mary Connolly and her staff as well as upper management were nothing but helpful during the entire process.  Mary is a special lady, she took her time with me, understood my goals and helped me achieve them.  She never made me feel uncomfortable or nervous about our situation and was always available to help when I needed her.  If she did not have the answer she found it for me. These are wonderful people to work with... Read More
        ",PNB Housing Finance
20-12-2016,5,I have taken a home loan from PNB bank before 1 year and i have applied through online. The loan was processed through bank . The process was smooth and loan got sanctioned on time. The loan amount was sufficient for the tenure of 34 years and the amount was Rs. 21L. The rate of interest was nominal 8.5% .,PNB Housing Finance
24-05-2017,5,"I am very much happy with the loan process of PNB Housing finance. Actually the rate of interest was 9.10% and its similar like other banks. They told me 50% on processing fee but they have charged full amount 12,500 rupees on the disbursement. The loan tenure is 20 years.",PNB Housing Finance
02-11-2017,5,"The home loan experience is good with PNB Housing, I took the principal amount of Rs. 32 lakhs , first time I took 25.75 lakhs and second year I took mortgage loan of Rs. 6.15 lakhs for three years of team. The documentation was very easy, the executive came to my place and collected the papers. I already recommended their service.",PNB Housing Finance
17-05-2017,5,The process in getting my Home loan from PNBHFL has been quite a good experience where there hasn't been any hassles faced overall. The disbursement was on time and the interest rate with them had been nominal as well. The charges which they make has been quite less and even their staffs had been helpful at times.,PNB Housing Finance
27-05-2016,5,"I got great response from PNB housing, but I am not fine with interest rate, earlier they told something and again after the disbursement they collected Rs. 2500. It would be if they informed it earlier. Remaining all good I don't have any issues.",PNB Housing Finance
04-10-2017,4,"The process is good with PNB Housing Finance. The customer service is excellent. The charges are not very clear and it has to be more transparent. They took a processing fee of 14,000 rupees for the loan amount of 60L. The tenure is 30 years. The documentation process is simple.
Very receptive
Thorough
I have taken a home loan with PNB HOUSING FINANCE on 8 months before which was processed directly with them. At that time I was in need of money, other banks need all documents to submit for verification but in PNB process was good and they asked to submit required documents only. I was in need of 22L but they have sanctioned a amount of 21.20 L and tenure period of 30 years. Rate of interest is floating so as of now 8.15%. Pre closure option is applicable.",PNB Housing Finance
11-10-2017,4,"The home loan rate of interest is too high and currently the provided rate is 10.50%. The processing fee is okay. All the services has been good except rate of interest. They took 2 months to disbursed the loan. Some criteria is not fulfilled like because my property is more than 25 years due to the documentation issue, it got delayed from my end.
Easy, going the extra mile and overcoming obstacles.  Truthful, honest and dependable.  Very professional and friendly.
        ",PNB Housing Finance
22-07-2017,5,"The reason for getting the loan is for the because of tenuity is higher so i have taken. The documentation process was not done. I am unable to contacted the customer support also the loan got reject, the expeceted loan amount of 25-30L and the rate of interest no idea.",PNB Housing Finance
10-07-2016,5,"My housing loan experience was good it was hassle free, I don't have to go to any of the branch. The field executive gave me the door step service, it took one month of the time for the whole process completion. They sanctioned the amount in one slot with better interest.
Very informative, and responsive
        ",PNB Housing Finance
11-01-2017,3,I have dropped the plan to take housing loan from PNB Housing because the interest rate is higher they told me 9% of floating interest. But other banks are providing lesser interest hence I suggest them to give competitive interest like SBI and other nationalized bank.,PNB Housing Finance
17-02-2017,3,"I had taken a Home loan from PNB Housing Finance a while back and the experience was good. The process in getting the loan did not took much time and the interest rate with them has been nominal. The charges where all fine and their customer support team had been helpful at times.
It was fast easy and did not have to leave the comforts of our home... Steven Shatz was so friendly and helped us at every turn... I would recommended to everyone that needs financing to go through this company.. 
        ",PNB Housing Finance
29-10-2016,5,"I have selected PNB home loan amount 20 lakhs and tenure 25 years, EMI is 20,000 .while submitted documents through executive there no delay receive loan amount disbursal preclouser is chargers applicable and customer service is good and responsiveness.",PNB Housing Finance
13-04-2016,5,"I have applied for PNB Housing Finance Ltd Home Loan through Online .customer service is good and follow up is there ,loan got on time without delay ,agent gave information ,The document submission was also easy ,they have took 15 days time regarding land verification .The service is good and satisfied with the service .
",PNB Housing Finance
22-07-2017,5,"I had taken my Home loan from PNB HOUSING FINANCE LIMITED a while back and the process in getting the loan was pretty much easy. The loan amount has been sufficient and the interest rate which they had made has been nominal, the processing fee and charges where not high and there has not been any issues faced with their services.",PNB Housing Finance
17-02-2017,5,"I have applied for PNB Housing Finance Ltd Home Loan through Online.I have not faced any issues ,The rate of interest and processing fee was nominal , The loan amount got sanctioned on time .The loan amount was sufficient ,while document submission there was no issues.The agent gave all the details of the loan clearly.The processing time is little that is a good thing .",PNB Housing Finance
28-11-2016,5,The process in getting my Home loan from PNBHFL has been quite a good experience where there hasn't been any hassles faced overall. The disbursement was on time and the interest rate with them had been nominal as well. The charges which they make has been quite less and even their staffs had been helpful at times.,PNB Housing Finance
27-09-2017,5,I had taken my Home Loan from PUNJAB NATIONAL BANK a while back where the process in getting the loan was fine. The loan amount has been sufficient and the interest rate has been nominal. The charges which they had made has also been nominal as well. Overall it had been a pretty good experience.,PNB Housing Finance
31-08-2016,1,"HOUSING LOAN Rate of interest is increasing only in this PNB housing finiance. There no decrease happens from May 2017. All other Banks are reducing Rate of Interest.

",PNB Housing Finance
16-08-2016,5,The process in getting my Home loan from PNBHFL has been quite a good experience where there hasn't been any hassles faced overall. The disbursement was on time and the interest rate with them had been nominal as well. The charges which they make has been quite less and even their staffs had been helpful at times.,PNB Housing Finance
19-09-2017,5,They have approved the property so i have taken this housing loan with the PNB Housing Finance Limited. The documentation process was simple and it took 15days to get the loan. The rate of the interest was nominal with this loan. The loan amount was lesser.,PNB Housing Finance
13-04-2016,5,I have taken Home loan directly through PNB Housing Finance Ltd.I have got all the relevant details about the loan process .The rate of interest and the processing fee was nominal as well .I have got the loan amount sanctioned on time and it was sufficient as well .I am completely satisfied with the service .,PNB Housing Finance
06-02-2016,5,"My housing loan experience was good it was hassle free, I don't have to go to any of the branch. The field executive gave me the door step service, it took one month of the time for the whole process completion. They sanctioned the amount in one slot with better interest.",PNB Housing Finance
02-11-2017,5,"I had taken my Home loan from PNB HOUSING FINANCE LIMITED a while back and the process in getting the loan was pretty much easy. The loan amount has been sufficient and the interest rate which they had made has been nominal, the processing fee and charges where not high and there has not been any issues faced with their services.",PNB Housing Finance
04-10-2017,4,"I was applied for a home loan in PNB HOUSING FINANCE LIMITED one month before through an online process. The rate of interest and processing fee are not intimate from bank. The loan amount was sufficient for the tenure of 25 years.Due to bank norms has not met process was closed.
Teddy Ferrell and Binh Lai were excellent team members. Teddy explained everything from beginning to end and was very honest and up front with all that was required for my transactions to take place. He answered all of my calls and emails in a very timely manner. Very professional with excellent communication
        ",PNB Housing Finance
19-10-2017,5,I had taken my Home loan from PNB HOUSING FINANCE LIMITED a long time back and the experience i had with them has been pretty much good. The interest rate which they are making is pretty much nominal when compared with the other banks. Their customer support team had also been helpful at times.,PNB Housing Finance
11-03-2017,5,"Earlier I had the loan from PNB, then I switched over to ICICI, because of the rate of interest . Remaining all very good even the customer support is very proactive, the bank documentation process was hassle free, I don't want reach out to the bank for any concern. The executive gave me the door step service to avail the housing loan.",PNB Housing Finance
22-03-2016,2,"When I raise the request for the PNB Home loan there was no response from the bank end, even no one have contacted me to collect the documentation, the follow up and response should be prompt. The interest was reasonable from their end but there was no response.",PNB Housing Finance
31-08-2016,5,I took 18L as a home loan in PNB Housing Finance and it was a good experience. I have done a comparison and found the rate of interest is lower than other banks. I got the rate of 8.35% per annum and 5K as a processing fine. The loan duration is 30 years.,PNB Housing Finance
31-05-2017,2,"The process in getting my Home loan from PNBHFL has been very difficult where there has been a lot of hassles while the documentation happened and the process was delayed. The loan amount disbursed was as per my eligibility and the interest rate with them was very high as well. There was a processing fee of about 11,000 as well.",PNB Housing Finance
23-01-2016,5,I bought the home loan from PNB housing. Based on the customer requirement they are providing the loan. Their loan process was fast and they have sanctioned the loan immediately. As per the RBI Guidelines they are following up the interest rates. It took minimum of 45 days to provide the loan. The staff response was really awesome.,PNB Housing Finance
17-05-2017,5,"I am very much happy with the loan process of PNB Housing finance. Actually the rate of interest was 9.10% and its similar like other banks. They told me 50% on processing fee but they have charged full amount 12,500 rupees on the disbursement. The loan tenure is 20 years.",PNB Housing Finance
06-02-2016,5,The customer care service of PNB Housing is excellent. The interest rates are higher compared to other banks. They have offered me a interest rate of 9.10%. Already they have sanctioned the loan on time. Total tenure period of the loan upto 30 years. I withdrawn the amount of Rs. 25.50 lakhs,PNB Housing Finance
04-03-2017,4,"I have dropped the plan to take housing loan from PNB Housing because the interest rate is higher they told me 9.10% of floating interest. But other banks are providing lesser interest hence I suggest them to give competitive interest like HDFC bank which provided me interest rate up to 8.65 % which was nominal.
Robert was the best person to do our loan almost makes us wish we could do this again. No just kidding, but he was an amazing person who was concerned and wanted to do whatever he could to make our experience as painless as possible.  We would truely recommend him to friends and family.
Thanks again Robert
        ",PNB Housing Finance
29-02-2016,5,"I have applied for PNB Housing Finance Ltd Home Loan through Online.I have not faced any issues ,The rate of interest and processing fee was nominal , The loan amount got sanctioned on time .The loan amount was sufficient ,while document submission there was no issues.The agent gave all the details of the loan clearly.The processing time is little that is a good thing .",PNB Housing Finance
19-10-2017,5,I had chosen to go with them since all the credentials which they where offering has been good. The process in getting this loan was good and the loan amount which they had provided has been sufficient as well. The interest rate with them was nominal and the charges which they had made has been nominal as well. Their customer support has been helpful at times.,PNB Housing Finance
05-04-2016,5,"When I applied housing loan in PNB, they gave me better interest rate. My loan amount was approved earlier, I got the disbursement amount within a week. The documentation process was convenient and easy. I felt interest rate is nominal but they have other charges and also they don't have ECS facility.",PNB Housing Finance
11-03-2017,4,"PNB Housing Finance is good and done the process was very faster. I think, the charges are little bit high compared to others. The loan amount was not sufficient and I have purchased a residential property. The interest rate is 10.5%. They assured for 14L but they have provided only 10L which could have been better",PNB Housing Finance
10-07-2016,5,"My experience was excellent with PNB housing loan, I have this bank because of the good tenure period, I have taken 25 lakhs for the tenure of 17 years. They are providing attractive interest rate with the better process and also they are providing friendly service.",PNB Housing Finance
01-01-2018,1,"This would be worst company in the world in terms of loan services. they are worst for providing any document and use the cheap tactics to get more interest from customers. I have not seen any cheap company till now. They are also having worse custcare services too. it takes at least 15 minutes to connect with them every time.

        ",PNB Housing Finance
15-09-2016,1,"I availed a home loan from them in 2016 their interest rates are typically the highest while their services are probably the worst. The staff lack empathy and take a long time even processing simple request. Avoid and only go to them if you cannot get loan anywhere else.

        ",PNB Housing Finance
22-07-2017,1,I got the loan in PNB and after that I realize the bank look like morphia gang. Heavy interest rate and poor service. Don't go and get the loan.,PNB Housing Finance
07-07-2017,1,"I have taken loan from PNB and I will never recommend to take loan from PNB housing. They will increase ROI even if Repo rate is reduced. If you asked for reason they will simply told you that as per PNB policy. I seriously recommend to take loan from PSB. They might ask you for more document and long approval process but they will not cheat you or take hidden charges.
        ",PNB Housing Finance
